fecha;provincia;porcentaje_residentes_2a_dosis
09/12/2021;Valladolid;83,62678119
09/12/2021;Ávila;83,94560585
09/12/2021;Burgos;81,76988676
09/12/2021;León;82,43489272
09/12/2021;Soria;83,45033977
08/12/2021;León;82,36850926
08/12/2021;Palencia;83,1269765
08/12/2021;Valladolid;83,58126108
08/12/2021;Zamora;84,76446174
08/12/2021;TotalCyL;83,28289319
08/12/2021;Ávila;83,89423077
08/12/2021;Burgos;81,72878513
08/12/2021;Salamanca;86,34724901
08/12/2021;Segovia;79,84922921
08/12/2021;Soria;83,41546285
07/12/2021;León;
07/12/2021;TotalCyL;
07/12/2021;Burgos;
07/12/2021;Palencia;
07/12/2021;Segovia;
07/12/2021;Zamora;
07/12/2021;Ávila;
07/12/2021;Salamanca;
07/12/2021;Soria;
07/12/2021;Valladolid;
06/12/2021;Ávila;83,85998072
06/12/2021;León;82,30168763
06/12/2021;Segovia;79,76582963
06/12/2021;TotalCyL;83,23078285
06/12/2021;Burgos;81,68097302
06/12/2021;Zamora;84,722841
06/12/2021;Palencia;83,07707662
06/12/2021;Salamanca;86,28984495
06/12/2021;Soria;83,36596013
06/12/2021;Valladolid;83,54169508
05/12/2021;León;
05/12/2021;Valladolid;
05/12/2021;Ávila;
05/12/2021;Salamanca;
05/12/2021;Segovia;
05/12/2021;Soria;
05/12/2021;TotalCyL;
05/12/2021;Burgos;
05/12/2021;Palencia;
05/12/2021;Zamora;
04/12/2021;Burgos;
04/12/2021;León;
04/12/2021;Soria;
04/12/2021;Ávila;
04/12/2021;Segovia;
04/12/2021;Valladolid;
04/12/2021;Zamora;
04/12/2021;Palencia;
04/12/2021;Salamanca;
04/12/2021;TotalCyL;
03/12/2021;Burgos;
03/12/2021;Palencia;
03/12/2021;Salamanca;
03/12/2021;Soria;
03/12/2021;Valladolid;
03/12/2021;León;
03/12/2021;Segovia;
03/12/2021;Zamora;
03/12/2021;Ávila;
03/12/2021;TotalCyL;
02/12/2021;León;
02/12/2021;Palencia;
02/12/2021;Ávila;
02/12/2021;Salamanca;
02/12/2021;Soria;
02/12/2021;Valladolid;
02/12/2021;TotalCyL;
02/12/2021;Burgos;
02/12/2021;Segovia;
02/12/2021;Zamora;
01/12/2021;Palencia;82,95482189
01/12/2021;Segovia;79,60163672
01/12/2021;Valladolid;83,39725996
01/12/2021;León;82,16169083
01/12/2021;Salamanca;86,22089933
01/12/2021;Zamora;84,54697869
01/12/2021;TotalCyL;83,0837632
01/12/2021;Ávila;83,72107773
01/12/2021;Burgos;81,47434643
01/12/2021;Soria;83,14432294
30/11/2021;Burgos;81,44638613
30/11/2021;León;82,11787336
30/11/2021;Palencia;82,91303073
30/11/2021;Salamanca;86,19629759
30/11/2021;Segovia;79,55537601
30/11/2021;Soria;83,08806984
30/11/2021;Valladolid;83,37651662
30/11/2021;TotalCyL;83,04806261
30/11/2021;Ávila;83,69253603
30/11/2021;Zamora;84,46901306
29/11/2021;Ávila;83,61515628
29/11/2021;Palencia;82,8843383
29/11/2021;TotalCyL;83,00897985
29/11/2021;Burgos;81,41059695
29/11/2021;León;82,08391483
